Country,2018,2019,2020,2021,2022,2023,2024,2025,Latitude,Longitude
Argentina,521.1,670.45,826.38,955.4,1309.64,1587.02,1843.99,2144.91,-34.6037,-58.3816
Armenia,202.02,253.38,310.81,371.62,538.72,686.67,778.88,888.89,40.1792,44.5086
Australia,2070.52,2447.45,2776.96,2928.27,3667.92,4088.59,4457.25,4947.67,-33.8688,151.2093
Austria,900.23,1179.98,1531.39,1744.7,2149.34,2702.41,2981.6,3389.07,48.2082,16.3738
Azerbaijan,176.88,228.4,269.04,315.89,489.17,546.6,602.11,688.45,40.3856,49.8671
Bahrain,838.51,1041.67,1239.52,1417.65,1947.98,2293.79,2467.03,2689.84,26.0667,50.5577
Bangladesh,50.36,70.74,96.39,110.17,150.49,176.73,197.21,228.03,23.8103,90.4125
Belarus,176.41,246.27,309.09,367.35,512.93,612.13,679.0,766.96,53.9045,27.5615
Belgium,1116.42,1419.83,1741.63,2012.84,2768.57,3367.88,3937.5,4599.5,50.8503,4.3517
Belize,837.84,1315.79,1538.46,1500.0,2195.12,2261.9,3116.28,3500.0,17.2505,-88.7589
Benin,37.01,48.47,64.39,75.2,95.85,119.59,138.04,157.46,6.4969,2.6289
Bhutan,584.42,857.14,1077.92,1389.61,1884.62,2166.67,2569.62,2949.37,27.5142,89.6408
Bolivia,87.48,114.93,147.08,172.44,230.83,273.29,321.37,396.69,-16.5898,-68.1506
Bosnia and Herzegovina,253.56,327.59,427.75,489.8,671.55,873.16,1023.74,1208.96,43.8564,18.4131
Botswana,181.42,234.78,302.13,393.31,539.09,631.58,733.07,847.66,-24.6282,25.9165
Brazil,323.15,440.95,576.45,705.33,1019.24,1292.56,1560.35,1859.88,-15.8267,-47.8822
Brunei Darussalam,2116.28,2697.67,3090.91,3568.18,4863.64,5400.0,6111.11,6755.56,4.883,114.9388
Bulgaria,237.41,332.85,462.56,583.09,806.31,1037.94,1241.17,1469.67,42.6977,23.3219
Burkina Faso,28.86,37.81,50.16,56.52,72.49,87.86,101.84,116.79,12.3656,-1.5197
Burundi,19.83,26.19,32.61,37.53,50.21,59.48,67.04,80.76,-3.3731,29.9189
Cambodia,59.04,85.0,105.52,127.89,174.27,215.36,252.14,294.81,11.5564,104.9282
Cameroon,40.19,52.71,68.5,77.13,97.53,119.73,136.11,155.2,3.8667,11.5167
Canada,1956.66,2353.03,2709.74,2912.92,3719.1,4244.08,4726.26,5349.54,45.4215,-75.6972
Chad,28.61,37.25,47.33,54.31,71.25,85.12,96.19,106.97,12.1348,15.0557
Chile,556.43,686.39,812.27,906.88,1212.26,1449.41,1684.24,1983.68,-33.4489,-70.6693
China,1455.79,1933.56,2424.6,2800.82,3781.14,4448.38,4982.94,5544.77,39.9042,116.4074
Costa Rica,279.92,384.76,484.05,537.89,704.92,955.2,1110.92,1299.31,9.9281,-84.0907
Croatia,430.41,612.99,751.96,886.84,1257.29,1652.41,1929.92,2247.28,45.815,15.9819
Cuba,173.19,254.8,354.08,167.7,235.5,288.17,326.62,377.55,23.1291,-82.3794
Cyprus,1048.39,1408.0,1912.0,2256.0,2904.0,3539.68,4015.75,4625.0,35.1264,33.4299
Czechia,470.31,636.36,822.6,971.11,1273.49,1662.95,1835.03,2128.58,50.0755,14.4378
Denmark,2478.49,3022.18,3556.31,3921.77,5147.21,6001.68,6768.33,7676.03,55.6761,12.5883
Dominican Republic,175.55,232.85,282.42,344.43,493.5,604.29,691.91,789.7,18.4861,-69.9312
Ecuador,119.39,158.52,196.44,227.8,308.91,377.03,425.12,491.23,-0.2194,-78.5124
Egypt,61.36,92.23,136.57,152.98,208.08,213.89,230.65,242.14,30.0444,31.2357
El Salvador,109.72,147.74,187.02,236.92,328.22,406.73,477.86,564.02,13.6929,-89.2182
Equatorial Guinea,200.0,251.75,310.34,385.14,456.95,512.99,617.83,773.58,3.7521,8.7737
Estonia,1263.16,1661.65,2022.56,2308.27,3075.19,3708.96,4044.78,4466.67,59.437,24.7536
Ethiopia,28.1,39.28,50.87,56.05,78.27,104.64,109.9,113.16,9.032,38.7469
Fiji,764.04,977.78,1197.8,1369.57,1945.65,2301.08,2709.68,3106.38,-18.1248,178.4501
Finland,1963.83,2409.75,2839.93,3155.64,4202.85,4998.23,5739.44,6697.02,60.1695,24.9354
France,1641.05,1972.25,2264.3,2454.16,3175.56,3660.29,4087.48,4598.17,48.8566,2.3522
Gabon,194.57,257.64,303.8,383.67,503.94,589.35,670.33,731.45,0.4162,9.4673
Gambia,49.59,66.93,86.14,103.2,144.78,178.34,210.84,242.17,13.4549,-16.579
Germany,1031.56,1239.77,1439.61,1579.94,2078.93,2451.86,2804.64,3275.56,52.52,13.405
Ghana,59.75,74.29,105.58,120.35,147.01,178.57,207.41,241.67,5.6037,-0.187
Greece,385.86,510.03,639.92,749.76,973.33,1260.21,1444.13,1666.67,37.9838,23.7275
Guatemala,92.34,126.28,164.54,186.18,251.71,313.04,361.06,421.72,14.6343,-90.5069
Guinea,32.76,44.35,56.76,64.49,88.33,109.71,126.5,149.59,9.5412,-13.7123
Guyana,506.33,725.0,925.93,1085.37,1831.33,2352.94,3252.87,3820.22,6.8013,-58.1515
Haiti,61.4,78.18,91.75,116.34,152.23,183.48,232.45,294.25,18.9712,-72.2852
Honduras,71.79,93.32,117.37,145.51,198.02,241.05,283.29,323.46,14.0723,-87.1921
Hungary,353.12,485.66,636.46,752.83,944.39,1271.88,1439.75,1684.86,47.4979,19.0402
Iceland,4815.79,6052.63,7324.32,7868.42,10421.05,12000.0,13153.85,14175.0,64.1466,-21.9426
India,164.94,230.27,302.66,367.7,530.4,668.66,788.32,929.35,28.7041,77.1025
Indonesia,233.97,304.94,376.73,434.47,595.25,730.82,852.02,1005.83,-6.2088,106.8456
Iran,89.93,98.74,114.31,154.37,234.02,276.73,322.62,329.48,35.6892,51.389
Iraq,107.1,145.59,155.68,182.82,291.89,321.48,367.64,382.8,33.3128,44.3615
Ireland,1788.31,2229.25,2699.81,3072.66,4180.11,5053.41,5853.79,6808.51,53.3498,-6.2603
Israel,733.4,1006.28,1339.54,1573.59,2044.07,2306.96,2593.87,3052.68,31.7683,35.2137
Italy,790.6,1019.31,1268.85,1501.95,2107.91,2615.2,3105.55,3663.26,41.9028,12.4964
Ivory Coast,54.12,71.53,93.53,106.83,132.13,164.41,188.01,212.23,6.827,-5.2893
Jamaica,249.11,336.88,414.89,443.26,640.57,804.27,1007.14,1171.43,18.0179,-76.8099
Japan,1536.24,1875.3,2189.83,2404.88,3148.76,3683.84,4204.61,4878.33,35.6762,139.6503
Jordan,109.8,158.82,211.76,244.12,339.22,416.67,483.33,561.76,31.9454,35.9284
Kazakhstan,195.95,263.52,328.87,386.03,541.14,714.72,835.83,976.19,51.1694,71.4491
Kenya,52.33,73.87,96.9,107.43,139.92,157.97,181.95,210.19,-1.2921,36.8219
Kuwait,693.21,918.03,1007.03,1292.74,1943.79,2121.78,2297.42,2510.54,29.3759,47.9774
Kyrgyzstan,63.86,83.46,106.35,135.06,209.5,279.51,345.19,415.6,42.8746,74.5698
Laos,89.29,120.32,148.44,182.28,219.21,259.57,305.81,357.79,17.9757,102.6331
Latvia,803.19,1090.43,1409.57,1638.3,2180.85,2686.17,2946.81,3303.19,56.9496,24.1052
Lebanon,190.96,231.33,211.45,224.01,327.92,461.96,574.31,653.06,33.8886,35.4955
Lesotho,91.35,113.74,135.51,156.68,209.09,251.12,292.04,336.24,-29.61,25.9655
Lithuania,650.0,885.3,1167.86,1400.0,1867.86,2313.17,2617.02,3000.0,54.6872,25.2797
Luxembourg,3609.38,4515.15,5746.27,6470.59,7742.86,9366.2,10369.86,11675.68,49.6116,6.1319
Madagascar,25.26,34.23,42.67,48.93,67.0,80.5,92.92,106.97,-18.8792,47.5079
Malawi,24.15,32.87,43.29,48.54,62.75,75.32,81.36,95.58,-13.9626,33.7741
Malaysia,589.13,735.22,877.98,969.76,1264.2,1457.33,1612.97,1806.31,3.139,101.6869
Malta,2301.89,3000.0,3777.78,4181.82,5727.27,6910.71,7701.75,8637.93,35.8989,14.5146
Mauritius,307.09,417.32,507.94,539.68,817.46,1056.0,1264.0,1508.06,-20.1609,57.5012
Mexico,397.45,461.56,511.88,532.48,660.74,732.25,775.5,868.37,19.4326,-99.1332
Moldova,162.01,288.14,316.38,427.76,572.24,714.69,842.25,1030.9,47.1673,28.8638
Mongolia,185.53,246.95,353.12,485.55,648.88,779.29,867.72,1028.28,47.9164,106.8768
Montenegro,1096.77,1403.23,1854.84,2209.68,3193.55,3887.1,4338.71,4935.48,42.4304,19.2594
Morocco,81.16,111.94,137.96,161.16,196.03,244.47,280.79,325.54,33.9716,-6.8498
Mozambique,21.75,29.08,35.47,40.74,56.08,68.12,76.94,87.93,-23.8241,35.3054
Myanmar,42.92,63.78,75.6,81.96,110.78,131.87,146.55,169.27,16.8661,96.1951
Namibia,149.61,182.51,224.26,263.35,334.48,396.67,464.52,537.5,-22.5597,17.0832
Nepal,38.42,52.72,69.24,81.52,113.81,131.61,153.3,177.91,27.7172,85.324
Netherlands,1591.61,1965.77,2362.03,2679.95,3614.2,4297.85,4868.09,5506.73,52.3676,4.9041
New Zealand,1660.04,1904.3,2111.11,2152.96,2617.26,2845.3,3018.08,3282.42,-41.2865,174.7762
Nicaragua,75.53,95.31,118.07,142.27,187.67,244.79,292.41,341.94,12.115,-86.2362
Niger,22.74,29.67,37.76,42.38,55.79,66.75,78.03,88.32,13.5146,2.1126
Nigeria,55.22,79.28,108.0,135.37,195.52,241.01,275.57,305.56,9.0765,7.3986
North Macedonia,389.42,581.73,739.13,908.21,1241.55,1519.42,1694.17,1922.33,41.9973,21.428
Norway,2639.25,3211.79,3781.42,4196.04,5561.28,6537.65,7405.87,8379.9,59.9139,10.7522
Oman,437.13,557.73,653.18,712.67,1038.89,1180.0,1308.93,1414.04,23.61,58.54
Pakistan,42.88,53.41,66.19,77.03,102.77,114.53,132.84,152.21,33.6844,73.0479
Panama,324.07,424.04,498.87,612.11,838.5,1039.22,1186.7,1372.09,8.9824,-79.5199
Papua New Guinea,70.18,95.79,121.33,131.07,186.57,208.97,233.42,262.42,-9.4438,147.1803
Paraguay,169.27,210.6,257.84,296.4,376.47,443.02,467.42,530.06,-25.2637,-57.5759
Philippines,213.36,272.69,330.7,374.08,501.58,596.93,687.25,800.87,14.5995,120.9842
Poland,674.77,878.27,1112.05,1335.1,1912.55,2425.96,2919.79,3493.87,52.2297,21.0122
Portugal,444.23,587.27,759.92,877.65,1127.52,1460.0,1681.17,1940.79,38.7223,-9.1393
Puerto Rico,680.25,921.63,1179.81,1283.44,1733.12,2159.61,2460.53,2826.67,18.3855,-66.1057
Republic of the Congo,62.74,79.42,88.89,105.35,136.71,152.62,177.44,199.22,-4.2634,15.2429
Romania,239.54,335.43,455.98,536.83,705.6,963.48,1154.68,1368.19,44.4268,26.1025
Russia,195.87,267.59,317.96,395.49,605.6,653.53,751.61,818.45,55.7558,37.6173
Rwanda,30.26,40.12,51.25,56.66,77.88,96.11,105.49,119.21,-1.9505,29.8739
Saudi Arabia,388.51,524.25,687.73,851.16,1247.49,1598.19,1930.0,2296.46,24.7136,46.6753
Senegal,44.17,59.52,79.23,90.27,116.05,141.21,161.91,186.51,14.7167,-17.4674
Serbia,222.38,302.77,401.16,486.21,660.87,890.01,1034.68,1187.59,44.8176,20.4633
Seychelles,1400.0,2300.0,3300.0,4400.0,5400.0,7600.0,7800.0,9400.0,-4.625,55.45
Sierra Leone,30.08,39.76,51.04,58.04,75.19,85.74,101.29,116.52,8.4606,-13.2317
Singapore,2945.04,3584.21,4196.84,4541.81,5769.23,6502.51,7067.32,7852.09,1.3521,103.8198
Slovakia,474.36,641.03,857.14,963.44,1182.48,1560.0,1771.32,2030.8,48.1486,17.1077
Slovenia,806.6,1098.59,1429.91,1674.42,2101.38,2651.38,2954.55,3333.33,46.0569,14.5058
South Africa,85.04,112.5,142.0,167.42,233.77,287.89,338.12,397.81,-25.7461,28.2293
South Korea,1928.74,2266.13,2533.99,2652.95,3309.19,3694.99,4012.02,4470.36,37.5665,126.978
Spain,1356.95,1608.7,1828.01,1950.43,2489.29,2836.79,3153.54,3558.31,40.4168,-3.7038
Sri Lanka,92.67,117.78,149.01,166.74,192.63,244.02,298.79,354.51,6.9271,80.7789
Sudan,31.3,40.47,53.42,58.22,78.3,100.9,109.51,133.94,15.5007,32.5599
Suriname,655.74,1032.79,1344.26,1557.38,2098.36,2524.59,3080.65,3645.16,5.852,-55.2038
Sweden,2217.6,2671.12,3161.11,3544.68,4769.89,5723.85,6624.18,7655.17,59.3293,18.0686
Switzerland,1393.8,1846.59,2496.61,2793.06,3523.81,4426.7,5019.46,5636.07,46.9479,7.4474
Taiwan,1325.99,1603.46,1839.78,1971.52,2510.65,2843.33,3131.72,3488.73,25.033,121.5654
Tajikistan,43.81,57.51,68.32,97.49,139.38,173.13,210.09,265.36,38.5598,68.7738
Tanzania,29.13,39.39,52.03,57.83,77.2,93.19,102.84,117.84,-6.8,39.2833
Thailand,31.06,41.44,52.56,62.1,86.59,106.35,125.31,147.29,13.7563,100.5018
Timor-Leste,196.97,255.47,342.66,382.55,412.9,447.2,508.98,545.98,-8.548,125.5757
Togo,31.8,41.81,54.11,62.24,81.51,99.05,114.96,131.99,6.1256,1.2317
Tunisia,88.06,114.07,146.36,168.01,205.37,257.19,298.93,346.88,36.8065,10.1686
Turkey,354.23,429.32,500.59,551.96,730.45,865.97,993.84,1164.86,39.9334,32.8597
Turkmenistan,162.52,232.63,310.24,363.5,522.39,646.8,756.72,909.22,37.9601,58.3261
Uganda,26.45,36.43,46.53,53.86,72.76,91.14,105.56,125.81,0.3476,32.5825
Ukraine,85.4,130.84,176.0,216.64,245.26,326.32,379.27,453.96,50.4501,30.5234
United Arab Emirates,1434.78,1811.39,2218.9,2544.26,3474.26,4205.38,4890.64,5667.81,24.4539,54.3773
United Kingdom,2867.39,3421.24,3934.24,4269.66,5540.58,6408.74,7185.46,8115.7,51.5074,-0.1278
United States,4266.66,4976.16,5599.06,5903.78,7449.29,8388.51,9188.31,10256.53,38.9072,-77.0369
Uruguay,466.86,545.98,658.05,755.75,1083.33,1376.44,1563.22,1752.87,-34.9011,-56.1645
Uzbekistan,55.54,81.83,103.16,120.46,170.65,217.97,260.36,314.77,41.2995,69.2401
Vietnam,225.1,290.03,355.03,405.22,547.26,653.89,752.74,872.02,21.0285,105.8542
Zambia,39.19,48.1,54.36,64.0,91.51,102.77,109.0,125.19,-10.3399,28.2816
Zimbabwe,58.33,63.12,82.83,105.58,128.75,157.3,174.32,202.98,-17.8252,31.0335
