Country,2018,2019,2020,2021,2022,2023,2024,2025,Latitude,Longitude
Argentina,23.22,30.13,37.46,43.7,60.44,73.86,86.52,101.39,-34.6037,-58.3816
Armenia,0.6,0.75,0.92,1.1,1.6,2.06,2.36,2.72,40.1792,44.5086
Australia,51.97,62.41,71.34,76.34,97.31,110.76,123.02,138.98,-33.8688,151.2093
Austria,7.94,10.49,13.66,15.65,19.43,24.7,27.55,31.62,48.2082,16.3738
Azerbaijan,1.76,2.3,2.72,3.2,4.97,5.63,6.28,7.27,40.3856,49.8671
Bahrain,1.35,1.75,2.07,2.41,3.37,4.06,4.49,5.03,26.0667,50.5577
Bangladesh,8.15,11.61,16.03,18.55,25.62,30.37,34.15,39.73,23.8103,90.4125
Belarus,1.66,2.31,2.89,3.42,4.76,5.65,6.24,7.01,53.9045,27.5615
Belgium,12.85,16.47,20.29,23.51,32.42,39.64,46.62,54.78,50.8503,4.3517
Belize,0.31,0.5,0.6,0.6,0.9,0.95,1.34,1.54,17.2505,-88.7589
Benin,0.44,0.6,0.83,1.01,1.34,1.74,2.09,2.48,6.4969,2.6289
Bhutan,0.45,0.66,0.83,1.07,1.47,1.69,2.03,2.33,27.5142,89.6408
Bolivia,1.02,1.37,1.79,2.14,2.92,3.52,4.21,5.28,-16.5898,-68.1506
Bosnia and Herzegovina,0.89,1.14,1.48,1.68,2.29,2.96,3.45,4.05,43.8564,18.4131
Botswana,0.41,0.54,0.71,0.94,1.31,1.56,1.84,2.17,-24.6282,25.9165
Brazil,67.77,93.61,123.74,152.93,222.98,285.1,346.71,415.98,-15.8267,-47.8822
Brunei Darussalam,0.91,1.16,1.36,1.57,2.14,2.43,2.75,3.04,4.883,114.9388
Bulgaria,1.65,2.29,3.15,3.93,5.37,6.84,8.08,9.45,42.6977,23.3219
Burkina Faso,0.57,0.78,1.08,1.27,1.7,2.15,2.6,3.11,12.3656,-1.5197
Burundi,0.23,0.32,0.42,0.51,0.72,0.9,1.07,1.36,-3.3731,29.9189
Cambodia,0.96,1.4,1.76,2.16,2.98,3.73,4.42,5.23,11.5564,104.9282
Cameroon,1.04,1.42,1.92,2.25,2.96,3.78,4.47,5.3,3.8667,11.5167
Canada,73.14,89.18,103.81,113.4,147.76,171.97,195.1,224.52,45.4215,-75.6972
Chad,0.47,0.64,0.85,1.02,1.4,1.75,2.07,2.41,12.1348,15.0557
Chile,10.55,13.11,15.62,17.53,23.53,28.22,32.91,38.9,-33.4489,-70.6693
China,"2,031.38","2,703.18","3,400.28","3,946.07","5,338.02","6,283.78","7,028.49","7,805.6",39.9042,116.4074
Costa Rica,1.45,2.02,2.58,2.91,3.87,5.33,6.31,7.51,9.9281,-84.0907
Croatia,1.67,2.36,2.88,3.37,4.74,6.18,7.16,8.27,45.815,15.9819
Cuba,1.99,2.92,4.04,1.9,2.64,3.19,3.57,4.07,23.1291,-82.3794
Cyprus,1.3,1.76,2.39,2.82,3.63,4.46,5.1,5.92,35.1264,33.4299
Czechia,4.99,6.79,8.81,10.42,13.69,17.91,19.8,23.01,50.0755,14.4378
Denmark,14.4,17.71,20.84,23.06,30.42,35.71,40.61,46.44,55.6761,12.5883
Dominican Republic,1.91,2.58,3.18,3.93,5.69,7.04,8.13,9.35,18.4861,-69.9312
Ecuador,2.1,2.82,3.53,4.13,5.65,6.96,7.92,9.24,-0.2194,-78.5124
Egypt,6.16,9.51,14.47,16.66,23.29,24.6,27.24,29.34,30.0444,31.2357
El Salvador,0.7,0.95,1.21,1.54,2.14,2.66,3.13,3.7,13.6929,-89.2182
Equatorial Guinea,0.28,0.36,0.45,0.57,0.69,0.79,0.97,1.23,3.7521,8.7737
Estonia,1.68,2.21,2.69,3.07,4.09,4.97,5.42,6.03,59.437,24.7536
Ethiopia,3.08,4.47,6.01,6.87,9.95,13.79,15,15.99,9.032,38.7469
Fiji,0.68,0.88,1.09,1.26,1.79,2.14,2.52,2.92,-18.1248,178.4501
Finland,10.86,13.35,15.79,17.64,23.62,28.24,32.6,38.24,60.1695,24.9354
France,110.18,132.91,153.61,167.03,216.7,250.51,280.81,317.09,48.8566,2.3522
Gabon,0.43,0.59,0.72,0.94,1.28,1.55,1.83,2.07,0.4162,9.4673
Gambia,0.12,0.17,0.23,0.29,0.43,0.56,0.7,0.85,13.4549,-16.579
Germany,85.64,103.36,120.02,131.72,173.32,204.24,233.29,271.97,52.52,13.405
Ghana,1.74,2.26,3.35,3.98,5.06,6.4,7.73,9.36,5.6037,-0.187
Greece,4.04,5.34,6.7,7.85,10.22,13.27,15.25,17.65,37.9838,23.7275
Guatemala,1.58,2.22,2.97,3.45,4.79,6.12,7.25,8.7,14.6343,-90.5069
Guinea,0.42,0.6,0.81,0.97,1.4,1.83,2.22,2.76,9.5412,-13.7123
Guyana,0.4,0.58,0.75,0.89,1.52,2,2.83,3.4,6.8013,-58.1515
Haiti,0.7,0.91,1.09,1.41,1.88,2.31,2.98,3.84,18.9712,-72.2852
Honduras,0.71,0.95,1.23,1.57,2.2,2.76,3.34,3.93,14.0723,-87.1921
Hungary,3.45,4.74,6.18,7.31,9.17,12.35,13.98,16.36,47.4979,19.0402
Iceland,1.83,2.3,2.71,2.99,3.96,4.68,5.13,5.67,64.1466,-21.9426
India,223.11,316.43,422.63,521.09,751.66,947.61,"1,137.74","1,354.23",28.7041,77.1025
Indonesia,62.72,82.66,103.24,120.07,165.2,201.34,236.46,281.21,-6.2088,106.8456
Iran,7.48,8.31,9.72,13.25,20.25,24.12,28.3,29.07,35.6892,51.389
Iraq,4.3,6.01,6.61,7.98,13.1,14.83,17.43,18.65,33.3128,44.3615
Ireland,8.87,11.28,13.85,16.07,22.28,27.44,32.43,38.4,53.3498,-6.2603
Israel,6.85,9.61,12.94,15.61,20.87,24.2,27.91,33.61,31.7683,35.2137
Italy,47.08,60.7,75.56,88.78,124.24,153.8,182.42,214.96,41.9028,12.4964
Ivory Coast,1.4,1.93,2.63,3.13,4.03,5.22,6.21,7.29,6.827,-5.2893
Jamaica,0.7,0.95,1.17,1.25,1.8,2.26,2.82,3.28,18.0179,-76.8099
Japan,194.35,237.9,276.97,301.62,390.73,451.27,507.58,579.35,35.6762,139.6503
Jordan,1.12,1.62,2.16,2.49,3.46,4.25,4.93,5.73,31.9454,35.9284
Kazakhstan,3.68,5.02,6.38,7.57,10.72,14.23,16.75,19.68,51.1694,71.4491
Kenya,2.64,3.84,5.19,5.93,7.96,9.26,10.99,13.08,-1.2921,36.8219
Kuwait,2.96,3.92,4.3,5.52,8.3,9.06,9.81,10.72,29.3759,47.9774
Kyrgyzstan,0.41,0.55,0.72,0.94,1.5,2.06,2.62,3.25,42.8746,74.5698
Laos,0.65,0.9,1.14,1.44,1.78,2.17,2.63,3.17,17.9757,102.6331
Latvia,1.51,2.05,2.65,3.08,4.1,5.05,5.54,6.21,56.9496,24.1052
Lebanon,1.31,1.58,1.44,1.53,2.22,2.55,3.13,3.52,33.8886,35.4955
Lesotho,0.19,0.24,0.29,0.34,0.46,0.56,0.66,0.77,-29.61,25.9655
Lithuania,1.82,2.47,3.27,3.92,5.23,6.5,7.38,8.46,54.6872,25.2797
Luxembourg,2.31,2.98,3.85,4.4,5.42,6.65,7.57,8.64,49.6116,6.1319
Madagascar,0.68,0.95,1.22,1.44,2.03,2.51,2.98,3.53,-18.8792,47.5079
Malawi,0.45,0.64,0.88,1.03,1.39,1.74,1.96,2.4,-13.9626,33.7741
Malaysia,19.07,24.63,30.15,34.31,46.08,54.65,62.18,71.53,3.139,101.6869
Malta,1.22,1.62,2.04,2.3,3.15,3.87,4.39,5.01,35.8989,14.5146
Mauritius,0.39,0.53,0.64,0.68,1.03,1.32,1.58,1.87,-20.1609,57.5012
Mexico,51.97,61.6,69.61,73.69,92.92,104.5,112.16,127.12,19.4326,-99.1332
Moldova,0.58,1.02,1.12,1.51,2.02,2.53,2.99,3.67,47.1673,28.8638
Mongolia,0.59,0.81,1.19,1.68,2.31,2.86,3.28,4,47.9164,106.8768
Montenegro,0.68,0.87,1.15,1.37,1.98,2.41,2.69,3.06,42.4304,19.2594
Morocco,2.96,4.18,5.27,6.29,7.81,9.94,11.65,13.78,33.9716,-6.8498
Mozambique,0.68,0.95,1.21,1.45,2.08,2.63,3.09,3.67,-23.8241,35.3054
Myanmar,2.3,3.47,4.17,4.58,6.27,7.56,8.51,9.96,16.8661,96.1951
Namibia,0.38,0.48,0.61,0.74,0.97,1.19,1.44,1.72,-22.5597,17.0832
Nepal,1.14,1.6,2.15,2.59,3.7,4.38,5.22,6.2,27.7172,85.324
Netherlands,27.71,34.46,41.43,47.06,63.61,75.9,86.36,98.13,52.3676,4.9041
New Zealand,8.35,9.75,10.83,11.26,13.95,15.45,16.69,18.48,-41.2865,174.7762
Nicaragua,0.5,0.65,0.83,1.03,1.4,1.88,2.31,2.78,12.115,-86.2362
Niger,0.53,0.73,0.98,1.16,1.61,2.03,2.5,2.98,13.5146,2.1126
Nigeria,11.15,16.74,23.85,31.27,47.25,60.94,72.9,84.57,9.0765,7.3986
North Macedonia,0.81,1.21,1.53,1.88,2.57,3.13,3.49,3.96,41.9973,21.428
Norway,14.12,17.44,20.76,23.33,31.31,37.33,42.88,49.19,59.9139,10.7522
Oman,2.19,2.85,3.39,3.77,5.61,6.49,7.33,8.06,23.61,58.54
Pakistan,9.29,11.91,15.19,18.18,24.92,28.5,33.88,39.74,33.6844,73.0479
Panama,1.4,1.87,2.2,2.73,3.79,4.77,5.53,6.49,8.9824,-79.5199
Papua New Guinea,0.64,0.91,1.2,1.35,2,2.33,2.71,3.17,-9.4438,147.1803
Paraguay,1.19,1.51,1.89,2.22,2.88,3.46,3.73,4.32,-25.2637,-57.5759
Philippines,23.38,30.62,38.03,44.04,60.43,73.59,86.69,103.36,14.5995,120.9842
Poland,25.54,33.26,42.08,50.52,72.39,91.58,109.93,131.16,52.2297,21.0122
Portugal,4.58,6.09,7.85,9.11,11.76,15.33,17.77,20.65,38.7223,-9.1393
Puerto Rico,2.17,2.94,3.74,4.03,5.39,6.63,7.48,8.48,18.3855,-66.1057
Republic of the Congo,0.33,0.44,0.52,0.65,0.89,1.05,1.29,1.53,-4.2634,15.2429
Romania,4.58,6.39,8.65,10.13,13.23,17.94,21.35,25.12,44.4268,26.1025
Russia,28.77,39.47,47.03,58.69,90.15,97.5,112.26,122.26,55.7558,37.6173
Rwanda,0.39,0.54,0.72,0.83,1.19,1.53,1.75,2.06,-1.9505,29.8739
Saudi Arabia,12.98,17.94,23.94,30.08,44.71,58.19,71.41,86.37,24.7136,46.6753
Senegal,0.72,1.01,1.4,1.66,2.22,2.81,3.35,4.01,14.7167,-17.4674
Serbia,1.53,2.08,2.76,3.35,4.56,6.15,7.16,8.23,44.8176,20.4633
Seychelles,0.14,0.23,0.33,0.44,0.54,0.76,0.78,0.94,-4.625,55.45
Sierra Leone,0.24,0.33,0.44,0.52,0.7,0.83,1.02,1.22,8.4606,-13.2317
Singapore,16.61,20.43,23.88,26.07,33.75,38.82,43.04,48.84,1.3521,103.8198
Slovakia,2.59,3.5,4.68,5.27,6.48,8.58,9.76,11.21,48.1486,17.1077
Slovenia,1.71,2.34,3.06,3.6,4.56,5.78,6.5,7.4,46.0569,14.5058
South Africa,4.83,6.57,8.54,10.37,14.91,18.9,22.84,27.64,-25.7461,28.2293
South Korea,99.87,117.34,131.21,137.37,171.35,190.92,206.86,230,37.5665,126.978
Spain,64.36,76.51,86.94,92.86,118.54,135.4,150.96,170.87,40.4168,-3.7038
Sri Lanka,2.01,2.59,3.32,3.76,4.39,5.61,6.92,8.26,6.9271,80.7789
Sudan,1.34,1.8,2.47,2.8,3.75,4.73,5.03,6.03,15.5007,32.5599
Suriname,0.4,0.63,0.82,0.95,1.28,1.54,1.91,2.26,5.852,-55.2038
Sweden,22.93,28.02,33.16,37.29,50.37,60.73,70.68,82.14,59.3293,18.0686
Switzerland,12.14,16.25,22.12,24.97,31.82,40.46,46.43,52.81,46.9479,7.4474
Taiwan,31.32,37.97,43.75,47.08,60.13,68.24,75.13,83.59,25.033,121.5654
Tajikistan,0.4,0.54,0.66,0.97,1.43,1.83,2.29,2.98,38.5598,68.7738
Tanzania,1.74,2.45,3.37,3.9,5.42,6.81,7.82,9.32,-6.8,39.2833
Thailand,31.06,41.44,52.56,62.1,86.59,106.35,125.31,147.29,13.7563,100.5018
Timor-Leste,0.26,0.35,0.49,0.57,0.64,0.72,0.85,0.95,-8.548,125.5757
Togo,0.27,0.37,0.5,0.6,0.82,1.04,1.26,1.51,6.1256,1.2317
Tunisia,1.04,1.37,1.79,2.09,2.6,3.31,3.91,4.61,36.8065,10.1686
Turkey,29.21,35.9,42.44,47.43,63.6,76.37,88.74,105.28,39.9334,32.8597
Turkmenistan,0.98,1.44,1.97,2.37,3.5,4.45,5.35,6.61,37.9601,58.3261
Uganda,1.21,1.75,2.35,2.86,4.06,5.34,6.49,8.11,0.3476,32.5825
Ukraine,3.58,5.46,7.32,9.01,10.09,12.4,14.31,17.01,50.4501,30.5234
United Arab Emirates,14.19,18.44,23.01,27.02,37.8,46.89,55.9,66.37,24.4539,54.3773
United Kingdom,193.09,232.61,268.63,292.13,379.53,439.96,495.15,561.85,51.5074,-0.1278
United States,"1,398.27","1,647.11","1,855.81","1,965.96","2,487.69","2,814.01","3,095.45","3,469.68",38.9072,-77.0369
Uruguay,1.62,1.9,2.29,2.63,3.77,4.79,5.44,6.1,-34.9011,-56.1645
Uzbekistan,1.83,2.76,3.56,4.25,6.14,7.98,9.68,11.87,41.2995,69.2401
Vietnam,21.72,28.42,35.34,40.98,56.22,68.24,79.79,93.89,21.0285,105.8542
Zambia,0.7,0.91,1.09,1.36,2.06,2.45,2.75,3.34,-10.3399,28.2816
Zimbabwe,0.91,1.01,1.36,1.78,2.23,2.8,3.19,3.82,-17.8252,31.0335
